FINAL_ID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,GENUS_SPECIES,FEEDINGHAB,TOLERANCE,NBI_P_TOLERANCE,NBI_N_TOLERANCE,TOLNAME,CLASSIFIER,PREVNAMES,COMMONNAME,REFERENCE
NA,ARTHROPODA,INSECTA,HEMIPTERA,PLEIDAE,,NA,NA,NEOPLEA SP.,PRD,8,NA,NA,,INSECTS-OTHER,NA,,83
NA,ARTHROPODA,INSECTA,DIPTERA,DIXIDAE,,NA,NA,DIXELLA SP.,C-G,1,NA,NA,INTOLERANT,INSECTS-OTHER,NA,MIDGE,
NA,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,LIMNEPHILINAE,NA,NA,FRENESIA SP.,SHR,4,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
NA,ARTHROPODA,INSECTA,DIPTERA,PELECORHYNCHIDAE,,NA,NA,GLUTOPS SP.,PRD,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,RUBBER FLY,
NA,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,,NA,NA,HAGENIUS BREVISTYLUS,PRD,1,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83,122"
NA,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,,NA,NA,NOTONECTA SP.,PRD,8,NA,NA,TOLERANT,INSECTS-OTHER,NA,BACKSWIMMER,
NA,ARTHROPODA,INSECTA,TRICHOPTERA,ODONTOCERIDAE,,NA,NA,PSILOTRETA FRONTALIS,SCR,0,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
NA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,NA,NA,STEMPELLINA SP.,C-G,2,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,21
NA,ARTHROPODA,INSECTA,PLECOPTERA,PELTOPERLIDAE,,NA,NA,PELTOPERLA SP.,SHR,0,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"83,114"
NA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,NA,NA,BOYERIA GRAFIANA,PRD,2,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83, 122"
NA,ARTHROPODA,INSECTA,MEGALOPTERA,CORYDALIDAE,,NA,NA,CHAULIODES RASTRICORNIS,PRD,4,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DOBSONFLY,"83, 37"
